,Unnamed: 0,UserID,UserScreenName,UserCreatedAt,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,AvgHashtag,AvgURLCount,AvgMention,AvgRetweet,AvgFavCount,TweetCount,SpammerOrNot,Current_Time,Reputation,AgeOfAccount,TweetPerDay,TweetPerFollower,AgeByFollowing
0,0,613357772.0,THChennai,2012-06-20 11:24:00,145,62144,297.0,"Chennai, India",0.466666667,0.266666667,1.166666667,9.7,11.7,21157,0,2021-07-06 16:08:28,298.0,3303.1975462962964,6.405005968753593,0.34,11.121877260256891
1,1,284920800.0,news18dotcom,2011-04-20 06:14:00,75,109825,161.0,India,0.6,0.933333333,0.333333333,5.366666667,6.3666666670000005,78784,0,2021-07-06 16:08:28,162.0,3730.4128240740743,21.11937839468343,0.72,23.170265988037727
2,2,1943418931.0,polimernews,2013-07-10 08:07:00,102,237690,156.0,Chennai,2.3,1.0,0.0,1.7,10.96666667,85765,0,2021-07-06 16:08:28,157.0,2918.334351851852,29.388339257829436,0.36,18.707271486229818
3,3,7.41e+17,MalaimurasuTv,2016-09-06 07:58:00,0,7449,323.0,"Chennai, India",0.0,1.0,0.9,0.0,0.133333333,38658,0,2021-07-06 16:08:28,324.0,1764.340601851852,21.910735353153786,5.19,5.462354804494898
4,4,7.78e+17,newsglitzcom,2016-09-19 12:43:00,0,1271,1022.0,0,1.833333333,1.9,1.4,0.4,0.7666666670000001,2482,0,2021-07-06 16:08:28,1023.0,1751.1426851851852,1.4173602305499884,1.95,1.7134468543886352
5,5,1591105346.0,tangedconews,2013-07-13 14:12:00,0,989,118.0,Tirupur,0.0,0.466666667,0.0,0.0,0.233333333,2100,0,2021-07-06 16:08:28,119.0,2915.0808796296296,0.7203916758106594,2.12,24.704075251098555
7,7,4087953322.0,Arappor,2015-01-11 06:03:00,23,6727,120.0,"Chennai, India",0.7333333329999999,0.9,0.533333333,8.566666667,12.36666667,2173,0,2021-07-06 16:08:28,121.0,2368.420462962963,0.9174891173172494,0.32,19.736837191358024
8,8,1073676020.0,IndiaTodayFLASH,2013-09-01 12:46:00,62,1105348,118.0,0,1.0,0.466666667,1.3666666669999998,10.4,0.0,210880,0,2021-07-06 16:08:28,119.0,2865.140601851852,73.60197257464435,0.19,24.28085255806654
9,9,57279305.0,NatarajIPS,2009-07-16 08:20:00,159,2686,49.0,Chennai,0.166666667,0.6333333329999999,0.2,8.1,1.666666667,548,0,2021-07-06 16:08:28,50.0,4373.325324074074,0.12530510753073767,0.2,89.25153722600152
10,10,28995530.0,vikatan,2009-05-04 14:32:00,23,535237,13.0,"Tamilnadu, India",1.466666667,0.966666667,0.033333333,8.3,28.9,116135,0,2021-07-06 16:08:28,14.0,4446.066990740741,26.120838989124458,0.22,342.00515313390315
11,11,9.23e+17,fx16pix,2017-10-24 03:25:00,126,2257,627.0,"Chennai, India",0.7666666670000001,1.033333333,1.466666667,5.5,34.5,6712,0,2021-07-06 16:08:28,628.0,1351.5301851851852,4.966222784791395,2.97,2.1555505345856223
